Thrust [N], tau_x [Nm], tau_y [Nm], tau_z [Nm]
4.062302, 0.000106, -0.000204 ,-0.000033
4.062668, 0.000106, -0.000204 ,-0.000033
4.063028, 0.000106, -0.000203 ,-0.000033
4.063380, 0.000106, -0.000203 ,-0.000033
4.063726, 0.000105, -0.000202 ,-0.000033
4.064065, 0.000105, -0.000202 ,-0.000033
4.064396, 0.000105, -0.000201 ,-0.000033
4.064722, 0.000104, -0.000201 ,-0.000033
4.065039, 0.000104, -0.000200 ,-0.000033
4.065351, 0.000104, -0.000200 ,-0.000033
4.065655, 0.000104, -0.000199 ,-0.000033
4.065953, 0.000103, -0.000199 ,-0.000033
4.066243, 0.000103, -0.000198 ,-0.000033
4.066527, 0.000103, -0.000198 ,-0.000033
4.066803, 0.000103, -0.000197 ,-0.000033
4.067074, 0.000102, -0.000197 ,-0.000033
4.067338, 0.000102, -0.000196 ,-0.000033
4.067594, 0.000102, -0.000196 ,-0.000033
4.067843, 0.000102, -0.000195 ,-0.000033
4.068086, 0.000101, -0.000195 ,-0.000033
4.068322, 0.000101, -0.000194 ,-0.000033
4.068551, 0.000101, -0.000194 ,-0.000033
4.068773, 0.000101, -0.000193 ,-0.000033
4.068988, 0.000100, -0.000193 ,-0.000033
4.069198, 0.000100, -0.000192 ,-0.000033
4.069399, 0.000100, -0.000192 ,-0.000033
4.069594, 0.000100, -0.000191 ,-0.000033
4.069783, 0.000099, -0.000191 ,-0.000033
4.069964, 0.000099, -0.000190 ,-0.000033
4.070139, 0.000099, -0.000190 ,-0.000033
4.070308, 0.000099, -0.000190 ,-0.000032
4.070468, 0.000098, -0.000189 ,-0.000032
4.070624, 0.000098, -0.000189 ,-0.000032
4.070772, 0.000098, -0.000188 ,-0.000032
4.070913, 0.000098, -0.000188 ,-0.000032
4.071047, 0.000097, -0.000187 ,-0.000032
4.071175, 0.000097, -0.000187 ,-0.000032
4.071296, 0.000097, -0.000186 ,-0.000032
4.071411, 0.000097, -0.000186 ,-0.000032
4.071519, 0.000096, -0.000185 ,-0.000032
4.071620, 0.000096, -0.000185 ,-0.000032
4.071714, 0.000096, -0.000185 ,-0.000032
4.071803, 0.000096, -0.000184 ,-0.000032
4.071884, 0.000096, -0.000184 ,-0.000032
4.071959, 0.000095, -0.000183 ,-0.000032
4.072027, 0.000095, -0.000183 ,-0.000032
4.072089, 0.000095, -0.000182 ,-0.000032
4.072144, 0.000095, -0.000182 ,-0.000032
4.072192, 0.000094, -0.000182 ,-0.000032
4.072234, 0.000094, -0.000181 ,-0.000031
4.072270, 0.000094, -0.000181 ,-0.000031
4.072299, 0.000094, -0.000180 ,-0.000031
4.072321, 0.000094, -0.000180 ,-0.000031
4.072338, 0.000093, -0.000179 ,-0.000031
4.072347, 0.000093, -0.000179 ,-0.000031
4.072350, 0.000093, -0.000179 ,-0.000031
4.072347, 0.000093, -0.000178 ,-0.000031
4.072337, 0.000092, -0.000178 ,-0.000031
4.072321, 0.000092, -0.000177 ,-0.000031
4.072299, 0.000092, -0.000177 ,-0.000031
4.072270, 0.000092, -0.000177 ,-0.000031
4.072234, 0.000092, -0.000176 ,-0.000031
4.072193, 0.000091, -0.000176 ,-0.000031
4.072145, 0.000091, -0.000175 ,-0.000030
4.072091, 0.000091, -0.000175 ,-0.000030
4.072031, 0.000091, -0.000175 ,-0.000030
4.071964, 0.000091, -0.000174 ,-0.000030
4.071891, 0.000090, -0.000174 ,-0.000030
4.071811, 0.000090, -0.000173 ,-0.000030
4.071726, 0.000090, -0.000173 ,-0.000030
4.071634, 0.000090, -0.000173 ,-0.000030
4.071537, 0.000090, -0.000172 ,-0.000030
4.071433, 0.000089, -0.000172 ,-0.000030
4.071322, 0.000089, -0.000171 ,-0.000030
4.071206, 0.000089, -0.000171 ,-0.000030
4.071084, 0.000089, -0.000171 ,-0.000029
4.070955, 0.000089, -0.000170 ,-0.000029
4.070820, 0.000088, -0.000170 ,-0.000029
4.070680, 0.000088, -0.000170 ,-0.000029
4.070533, 0.000088, -0.000169 ,-0.000029
4.070381, 0.000088, -0.000169 ,-0.000029
4.070222, 0.000088, -0.000168 ,-0.000029
4.070057, 0.000087, -0.000168 ,-0.000029
4.069886, 0.000087, -0.000168 ,-0.000029
4.069710, 0.000087, -0.000167 ,-0.000029
4.069528, 0.000087, -0.000167 ,-0.000028
4.069339, 0.000087, -0.000167 ,-0.000028
4.069145, 0.000087, -0.000166 ,-0.000028
4.068944, 0.000086, -0.000166 ,-0.000028
4.068739, 0.000086, -0.000165 ,-0.000028
4.068527, 0.000086, -0.000165 ,-0.000028
4.068310, 0.000086, -0.000165 ,-0.000028
4.068086, 0.000086, -0.000164 ,-0.000028
4.067857, 0.000085, -0.000164 ,-0.000028
4.067622, 0.000085, -0.000164 ,-0.000027
4.067382, 0.000085, -0.000163 ,-0.000027
4.067135, 0.000085, -0.000163 ,-0.000027
4.066884, 0.000085, -0.000163 ,-0.000027
4.066626, 0.000085, -0.000162 ,-0.000027
4.066363, 0.000084, -0.000162 ,-0.000027
4.066094, 0.000084, -0.000162 ,-0.000027
4.065820, 0.000084, -0.000161 ,-0.000027
4.065540, 0.000084, -0.000161 ,-0.000027
4.065255, 0.000084, -0.000160 ,-0.000026
4.064964, 0.000083, -0.000160 ,-0.000026
4.064667, 0.000083, -0.000160 ,-0.000026
4.064365, 0.000083, -0.000159 ,-0.000026
4.064058, 0.000083, -0.000159 ,-0.000026
4.063745, 0.000083, -0.000159 ,-0.000026
4.063427, 0.000083, -0.000158 ,-0.000026
4.063104, 0.000082, -0.000158 ,-0.000026
4.062775, 0.000082, -0.000158 ,-0.000025
4.062441, 0.000082, -0.000157 ,-0.000025
4.062101, 0.000082, -0.000157 ,-0.000025
4.061757, 0.000082, -0.000157 ,-0.000025
4.061407, 0.000082, -0.000156 ,-0.000025
4.061051, 0.000081, -0.000156 ,-0.000025
4.060691, 0.000081, -0.000156 ,-0.000025
4.060326, 0.000081, -0.000155 ,-0.000025
4.059955, 0.000081, -0.000155 ,-0.000024
4.059579, 0.000081, -0.000155 ,-0.000024
4.059198, 0.000081, -0.000154 ,-0.000024
4.058813, 0.000080, -0.000154 ,-0.000024
4.058422, 0.000080, -0.000154 ,-0.000024
4.058026, 0.000080, -0.000153 ,-0.000024
4.057624, 0.000080, -0.000153 ,-0.000024
4.057219, 0.000080, -0.000153 ,-0.000024
4.056808, 0.000080, -0.000152 ,-0.000023
4.056392, 0.000079, -0.000152 ,-0.000023
4.055971, 0.000079, -0.000152 ,-0.000023
4.055545, 0.000079, -0.000151 ,-0.000023
4.055115, 0.000079, -0.000151 ,-0.000023
4.054679, 0.000079, -0.000151 ,-0.000023
4.054239, 0.000079, -0.000150 ,-0.000023
4.053795, 0.000078, -0.000150 ,-0.000022
